Invoice Number,Transaction Date,Transaction Amount,Payer Home Location,Transaction ID,Invoice ID,Currency Code
100005,2021-12-23,"$1,100.00",Bay Area Fencing Club - Los Gatos,30286046,40317859,USD
100029,2021-12-24,$450.00,Bay Area Fencing Club - Los Gatos,30291364,40324263,USD
100037,2021-12-25,$550.00,Bay Area Fencing Club - Los Gatos,30292089,40325177,USD
100040,2021-12-25,$550.00,Bay Area Fencing Club - Los Gatos,30292249,40325406,USD
100063,2021-12-30,$200.00,Bay Area Fencing Club - Los Gatos,30317558,40364134,USD
100064,2021-12-30,$240.00,Bay Area Fencing Club - Los Gatos,30317572,40364170,USD
100034,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448534,40325055,USD
100028,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448535,40324258,USD
100044,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448536,40327811,USD
100046,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448537,40327819,USD
100035,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448538,40325057,USD
100047,2022-01-01,$450.00,Bay Area Fencing Club - Los Gatos,30448539,40327820,USD
100032,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448540,40325047,USD
100051,2022-01-01,$450.00,Bay Area Fencing Club - Los Gatos,30448541,40329593,USD
100049,2022-01-01,$450.00,Bay Area Fencing Club - Los Gatos,30448542,40327840,USD
100067,2022-01-01,$550.00,Bay Area Fencing Club - Los Gatos,30448543,40366361,USD
100057,2022-01-01,$450.00,Bay Area Fencing Club - Los Gatos,30448544,40355232,USD
100079,2022-01-01,$900.00,Bay Area Fencing Club - Los Gatos,30451482,40504917,USD
100080,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465468,40513783,USD
100081,2022-01-02,"$1,800.00",Bay Area Fencing Club - Los Gatos,30465495,40513834,USD
100082,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465501,40513840,USD
100083,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465556,40513900,USD
100084,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465560,40513906,USD
100086,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465574,40513949,USD
100088,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465600,40513990,USD
100089,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465676,40514139,USD
100090,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465678,40514143,USD
